2026-05-28 18:39:37 | INFO     | app.core.logging:setup_logging:43 | Logging initialised — level=DEBUG, file=logs/bgv.log
2026-05-28 18:40:46 | DEBUG    | app.utils.file_utils:validate_upload:50 | File validated: name=High School (10th) Examination Result.pdf, size=83914 B, mime=application/pdf
2026-05-28 18:40:46 | DEBUG    | app.utils.file_utils:save_upload:61 | Saved upload → app\uploads\02acaca3d33c408a910da3e899d0faea.pdf
2026-05-28 18:40:46 | INFO     | app.api.routes.documents:analyze:388 | [/analyze] Processing: 02acaca3d33c408a910da3e899d0faea.pdf
2026-05-28 18:40:51 | INFO     | app.services.preprocessing.image_processor:pdf_to_images:44 | PDF → 2 page(s) at 300 dpi: 02acaca3d33c408a910da3e899d0faea.pdf
2026-05-28 18:40:51 | INFO     | app.services.pipeline:run_verify_pipeline:626 | Loaded 2 page(s)
2026-05-28 18:41:17 | INFO     | app.services.layout.structure_engine:analyse_layout:24 | Detected 4 layout regions
2026-05-28 18:41:20 | DEBUG    | app.services.preprocessing.image_processor:_deskew:104 | Deskewed by 90.00°
2026-05-28 18:41:20 | DEBUG    | app.services.preprocessing.image_processor:preprocess_image:146 | Preprocessed image shape: (848, 1200)
2026-05-28 18:41:20 | INFO     | app.services.ocr.engine:_get_paddle_ocr:30 | Initialising PaddleOCR engines...
2026-05-28 18:41:32 | INFO     | app.services.ocr.engine:_get_paddle_ocr:50 | PaddleOCR engines ready.
2026-05-28 18:41:42 | DEBUG    | app.services.ocr.engine:run_ocr:172 | OCR done — 38 lines, avg confidence=88.21%
2026-05-28 18:41:42 | DEBUG    | app.services.pipeline:_run_ocr_on_pages:481 | Page 1: 38 lines, conf=88.21%
2026-05-28 18:41:44 | DEBUG    | app.services.preprocessing.image_processor:_deskew:104 | Deskewed by 90.00°
2026-05-28 18:41:44 | DEBUG    | app.services.preprocessing.image_processor:preprocess_image:146 | Preprocessed image shape: (848, 1200)
2026-05-28 18:41:47 | DEBUG    | app.services.ocr.engine:run_ocr:172 | OCR done — 3 lines, avg confidence=98.26%
2026-05-28 18:41:47 | DEBUG    | app.services.pipeline:_run_ocr_on_pages:481 | Page 2: 3 lines, conf=98.26%
2026-05-28 18:41:47 | DEBUG    | app.services.classification.document_classifier:classify_document:139 |   aadhaar: raw_score=0.00, hits=0
2026-05-28 18:41:47 | DEBUG    | app.services.classification.document_classifier:classify_document:139 |   pan: raw_score=0.00, hits=0
2026-05-28 18:41:47 | DEBUG    | app.services.classification.document_classifier:classify_document:139 |   passport: raw_score=0.00, hits=0
2026-05-28 18:41:47 | DEBUG    | app.services.classification.document_classifier:classify_document:139 |   resume: raw_score=0.00, hits=0
2026-05-28 18:41:47 | DEBUG    | app.services.classification.document_classifier:classify_document:139 |   graduation_certificate: raw_score=0.00, hits=0
